COUNTRY;REGION;CODE;Population with at least secondary education;Employment rate;Unemploy-ment rate;Household disposable income per capita;Homicide rate;Mortality rate;Life expectancy;Air pollution (level of PM2.5);Voter turnout;Broadband access;Internet download speed 2021-Q4;Number of rooms per person;Perceived social network support ;Self assessment of life satisfaction
Colombia;Antioquia;CO05;58.62275911;58.7;16.2;9668.402;28.4;7;76.58;17.3;53.64;50.06885126;-43.53889984;1.06;87;6.3
Colombia;Atlántico;CO08;68.63042841;56.3;11.2;7296.367;26.6;9.15;77.57;13;61.1;46.55749872;-34.53370325;0.88;91.8;5.7
Colombia;Bogotá Capital District;CO11;74.03923591;62.8;18.4;11870.388;14.3;7.08;79.61;14.9;54.99;60.57605512;-25.71223694;1.16;83.8;6.3
Colombia;Bolívar;CO13;55.14166437;56.9;10.8;5675.027;19.1;7.63;76.56;12.4;63.09;23.80637427;-51.57506362;0.89;83.9;5.9
Colombia;Boyacá;CO15;51.74174082;52.5;12.8;6211.349;6.7;5.85;78.26;15.5;71.9;26.97574218;-66.22142021;1.16;88.5;5.4
Colombia;Caldas;CO17;54.61718337;52.9;16.9;7081.032;16.3;6.32;78.29;16;60.07;50.74292614;-58.57834418;1.17;76.1;6.2
Colombia;Caquetá;CO18;45.25479119;65.1;18;4942.998;32.5;9.41;73.73;12.4;57.64;23.86934461;-78.61237292;1.03;84.3;5.6
Colombia;Cauca;CO19;43.05585023;52.7;14.5;4725.458;50.5;5.92;76.16;9.8;61.31;30.76391752;-71.93878503;1.05;87.3;5
Colombia;Cesar;CO20;54.57645666;40.8;16.2;4799.803;22;8.04;76.04;15.2;66.7;27.49456223;-52.59310336;0.88;81.1;5.5
Colombia;Córdoba;CO23;46.81038148;52.9;16.5;4390.577;14.3;7.06;76.73;15.1;72.28;21.4390253;-58.35625721;0.89;87.3;4.8
Colombia;Cundinamarca;CO25;60.05935881;55.8;16.2;7592.857;12;6.4;79.23;15.1;65.59;49.71139619;-50.5543196;1.05;81.7;5.9
Colombia;Chocó;CO27;45.54699241;38.2;11.8;3344.496;38.1;5.44;71.62;13.9;64.21;6.728823145;-92.26582315;1.01;91;4.5
Colombia;Huila;CO41;47.66268425;64.5;14.4;5562.333;27.9;8.45;76.23;11.7;66.11;35.25407076;-71.99101244;1.06;81.4;5.8
Colombia;La Guajira;CO44;51.23402203;66;11.7;4056.19;18.1;6.29;70.24;12.7;61.18;9.18896784;-68.57923787;0.68;76.7;4.6
Colombia;Magdalena;CO47;55.23968494;45.5;12.9;4936.809;25.6;7.78;75.8;13.4;65.65;25.33539949;-58.43494788;0.86;88.7;5.5
Colombia;Meta;CO50;54.47260076;49.7;20.8;6794.521;27;7.86;75.86;15.6;68.82;42.99796292;-59.155278;1.1;78.5;5.4
Colombia;Nariño;CO52;44.13937333;73.2;9.7;5379.943;21.3;6.2;77.18;9.3;65.8;26.08728079;-65.01468123;0.95;76.5;5
Colombia;Norte de Santander;CO54;50.32710616;42;21.6;4998.28;39.2;9.1;75.66;16.4;59.89;39.04281583;-53.16460788;1;80.9;5.7
Colombia;Quindio;CO63;59.16079848;53.2;22;7488.021;30.6;7.81;75.63;14.1;53.53;51.17176272;-49.40919524;1.3;82.7;6.2
Colombia;Risaralda;CO66;55.29645017;57.7;14;6992.796;23.5;7.29;76.83;14.9;55.44;47.16330681;-52.78117037;1.17;83.2;6.2
Colombia;Santander;CO68;60.17181029;56;15.2;8362.967;14.7;7.15;78.82;16.1;66.55;47.49584939;-45.06566937;1.13;89.6;6
Colombia;Sucre;CO70;48.59500052;50.6;15.6;5470.782;23.7;6.85;76.33;14.7;73;20.80074446;-64.28340207;0.89;86.6;4.7
Colombia;Tolima;CO73;49.82825156;54.9;22.6;5813.984;26.1;7.27;77.31;14.7;60.79;33.22621921;-58.31456296;1.11;79;5.9
Colombia;Valle del Cauca;CO76;61.85313399;64.1;19.2;8918.93;54.1;7.66;75.75;11;53.19;51.63483566;-44.68190945;1.17;81.6;6.3
Colombia;Arauca;CO81;0;0;0;0;62.4;7.91;75.92;16.3;62.11;24.88479653;-90.3806251;1.04;79.5;5.7
Colombia;Casanare;CO85;0;0;0;0;19.1;7.47;77.16;15.7;75.78;30.54262698;-74.93588445;1.01;93;5.5
Colombia;Putumayo;CO86;0;0;0;0;46.7;7.21;74.59;10.8;62.56;24.42871711;-86.44358749;1.04;76;5.7
Colombia;San Andrés;CO88;0;0;0;0;57.2;6.59;74.81;11;54.09;6.578229411;-92.96687953;1.04;96.8;7.1
Colombia;Amazonas;CO91;0;0;0;0;27.3;10.56;75.41;12.9;60.87;1.212142312;0;0.94;100;7.6
Colombia;Guainía;CO94;0;0;0;0;36.9;7.42;72.74;15.3;69.34;2.025384254;0;0.79;100;6
Colombia;Guaviare;CO95;0;0;0;0;49.7;7.3;75.91;15.4;65.73;14.98116014;-90.57982764;1.05;100;9.1
Colombia;Vaupés;CO97;0;0;0;0;6.4;5.62;64.5;15.2;63.38;0.269167391;0;0.62;0;..
Colombia;Vichada;CO99;0;0;0;0;11.3;4.46;71.69;14.8;60.47;4.1;-95.38453189;0.64;0;..
